Plant_ID,Sp_Code,Scientific_Name,Population,Flower,Flower_Mass_g,Veg_Mass
A1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,2e-5,0.0235
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,2e-4,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,5e-5,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,3e-4,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,5e-5,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,2.5e-5,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,2e-4,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,6e-4,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,2e-5,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,2.25e-4,0.055
B4.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,2e-5,0.055
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,5e-5,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,2.5e-5,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,6.66667e-5,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,1.66667e-4,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,6.66667e-5,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,2.5e-4,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,1.5e-4,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,0.0013,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,3.33333e-4,0.0156
C3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,1.85714e-4,0.0156
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,5e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,6.66667e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,3.33333e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,3.33333e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1e-4,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,1.5e-4,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,3.33333e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,2e-4,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,3.33333e-5,0.1021
C8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5e-5,0.1021
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,2.85714e-5,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,2e-5,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,4e-4,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,1.66667e-4,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,2e-4,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,5e-5,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,3.33333e-5,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,1e-4,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,2e-4,0.1524
D1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5e-5,0.1524
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,3.75e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,6e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,2e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,3.07692e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1.42857e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,4e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,2e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,1.6e-4,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,4e-5,0.0868
E1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5.71429e-5,0.0868
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,3.63636e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,6e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,1.5e-4,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,3.33333e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,2.5e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,1e-4,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,2.5e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,1.42857e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,7.5e-5,0.09
E3.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,8.33333e-5,0.09
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,9e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,3.33333e-5,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,1e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,1.5e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,8e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,1.5e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,1e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,5e-5,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,5e-4,0.132
F1.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5e-4,0.132
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,2e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,1.25e-4,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,6.66667e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,2.5e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1.66667e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,6.66667e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,1.66667e-4,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,8.57143e-5,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,5e-4,0.1112
G7.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,3.33333e-5,0.1112
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,1e-4,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,2e-4,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,5e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,2e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1.66667e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,1.66667e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,1e-4,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,4e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,1.25e-5,0.1505
H6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5e-5,0.1505
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,3.33333e-5,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,1.42857e-5,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,1e-4,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,4e-4,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,3.33333e-5,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,1.5e-4,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,2e-4,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,2.5e-5,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,1e-4,0.413
I5.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,3.33333e-5,0.413
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,1.11111e-5,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,1.25e-4,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,5e-5,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,5e-5,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1e-4,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,3e-4,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,2.5e-5,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,3.5e-4,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,2e-4,0.0902
I6.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,2e-4,0.0902
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,3.33333e-5,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,3e-4,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,2e-4,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,2e-4,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,1e-4,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,2e-4,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,5e-5,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,5e-5,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,2e-5,0.1535
I8.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,5e-5,0.1535
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_1_g,1e-4,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_2_g,5e-5,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_3_g,1.25e-4,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_4_g,4.5e-4,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_5_g,8e-4,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_6_g,5e-5,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_7_g,5e-4,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_8_g,2e-5,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_9_g,3.33333e-5,0.085
J2.AIRCAR.1,AIRCAR,Aira caryophyllea,ANGELO,Flower_10_g,2.22222e-5,0.085
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0052,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0059,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0028,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.0044,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.004,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_6_g,0.006,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_7_g,0.0043,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_8_g,0.0051,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_9_g,0.0053,1.37
A2.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_10_g,0.0047,1.37
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0046,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0027,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0036,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.0045,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.003,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_6_g,0.003,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_7_g,0.0052,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_8_g,0.002,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_9_g,0.0036,8.54
A4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_10_g,0.0046,8.54
B8.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0011,1.24
B8.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0029,1.24
B8.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0036,1.24
B8.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.003,1.24
B8.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.002,1.24
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0027,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0028,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0101,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.002,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.0078,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_6_g,0.0026,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_7_g,0.0098,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_8_g,0.0025,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_9_g,0.0024,2.0989
G4.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_10_g,0.0049,2.0989
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0038,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0045,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0034,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.0047,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.0046,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_6_g,0.0036,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_7_g,0.0044,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_8_g,0.0056,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_9_g,0.0072,1.07
I3.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_10_g,0.0024,1.07
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_1_g,0.0043,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_2_g,0.0045,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_3_g,0.0038,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_4_g,0.0052,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_5_g,0.0039,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_6_g,0.0052,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_7_g,0.0041,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_8_g,0.0037,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_9_g,0.0047,2.3587
J7.AMSMEN.1,AMSMEN,Amsinckia menziesii,WWP,Flower_10_g,0.004,2.3587
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_1_g,0.0072,0.2
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_2_g,0.0075,0.2
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_3_g,0.0083,0.2
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_4_g,0.0096,0.2
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_5_g,0.00117,0.2
A2.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_6_g,0.0112,0.2
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_1_g,0.0408,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_2_g,0.0335,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_3_g,0.039,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_4_g,0.0424,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_5_g,0.0394,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_6_g,0.0535,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_7_g,0.04797,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_8_g,0.029,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_9_g,0.0427,118.32
A3.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_10_g,0.0331,118.32
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_1_g,0.0081,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_2_g,0.008,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_3_g,0.0084,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_4_g,0.0086,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_5_g,0.0102,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_6_g,0.0166,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_7_g,0.0062,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_8_g,0.0141,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_9_g,0.0105,18.81
A4.AVEBAR.1,AVEBAR,Avena barbata,WWP,Flower_10_g,0.0142,18.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_1_g,0.018,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_2_g,0.016,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_3_g,0.0211,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_4_g,0.0145,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_5_g,0.0206,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_6_g,0.0175,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_7_g,0.0287,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_8_g,0.0144,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_9_g,0.0166,29.81
A5.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_10_g,0.0118,29.81
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_1_g,0.0142,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_2_g,0.0104,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_3_g,0.0121,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_4_g,0.0152,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_5_g,0.0111,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_6_g,0.0085,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_7_g,0.0139,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_8_g,0.0132,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_9_g,0.0166,52.48
A7.AVEBAR.1,AVEFAT,Avena barbata,SEDG,Flower_10_g,0.0136,52.48
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_1_g,0.0136,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_2_g,0.0186,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_3_g,0.0243,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_4_g,0.0117,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_5_g,0.0134,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_6_g,0.0163,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_7_g,0.0196,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_8_g,0.0179,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_9_g,0.0197,26.37
A8.AVEBAR.1,AVEBAR,Avena barbata,MCL,Flower_10_g,0.0312,26.37
B1.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_1_g,0.0179,78.94
B1.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_2_g,0.0193,78.94
B1.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_3_g,0.0214,78.94
B1.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_4_g,0.0153,78.94
B1.AVEBAR.1,AVEBAR,Avena barbata,BORR,Flower_5_g,0.0182,78.94
